epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,26310,1.69892,1.41424,1.11916,0.70371,0.34316,0.40427,0.20239,1.65102,1.80752,1.13509,0.00023764,0.00023764,0.00023764
43,26828.6,1.6361,1.37251,1.10697,0.68726,0.34634,0.38102,0.17808,1.6722,1.84616,1.11997,0.00023368,0.00023368,0.00023368
44,27351,1.63736,1.39792,1.10362,0.63288,0.3813,0.38977,0.18997,1.62915,1.80463,1.11768,0.00022972,0.00022972,0.00022972
45,27873.1,1.6293,1.34302,1.09561,0.59638,0.32632,0.35686,0.16721,1.70344,1.75886,1.14177,0.00022576,0.00022576,0.00022576
46,28398.4,1.61601,1.34006,1.10649,0.67196,0.36249,0.40477,0.19067,1.66385,1.67495,1.13498,0.0002218,0.0002218,0.0002218
47,28921.7,1.59493,1.32472,1.08587,0.76418,0.36291,0.39914,0.19316,1.62941,1.67645,1.11716,0.00021784,0.00021784,0.00021784
48,29446,1.55733,1.27527,1.08294,0.61146,0.39649,0.40541,0.19107,1.70698,1.68138,1.1427,0.00021388,0.00021388,0.00021388
49,29966.2,1.59671,1.27122,1.07534,0.59101,0.39204,0.42137,0.20441,1.64855,1.62783,1.11597,0.00020992,0.00020992,0.00020992
50,30488.9,1.61783,1.28563,1.07404,0.65309,0.39261,0.42099,0.20652,1.68122,1.68158,1.12342,0.00020596,0.00020596,0.00020596
51,31010.9,1.58955,1.26504,1.06373,0.57626,0.40137,0.40276,0.19097,1.62291,1.66702,1.1217,0.000202,0.000202,0.000202
52,31533.3,1.59187,1.26303,1.07267,0.68508,0.35622,0.41173,0.20188,1.6395,1.65591,1.11947,0.00019804,0.00019804,0.00019804
53,32055.2,1.52502,1.1905,1.06894,0.69932,0.35358,0.40203,0.20024,1.67905,1.63296,1.13061,0.00019408,0.00019408,0.00019408
54,32584.1,1.51839,1.14763,1.05523,0.71718,0.37153,0.42306,0.20497,1.68418,1.64455,1.1312,0.00019012,0.00019012,0.00019012
55,33114.4,1.54611,1.18444,1.08063,0.66461,0.35616,0.3991,0.19577,1.73742,1.68738,1.13808,0.00018616,0.00018616,0.00018616
56,33642.3,1.52097,1.18016,1.04634,0.64455,0.3843,0.39846,0.20118,1.68189,1.57949,1.14694,0.0001822,0.0001822,0.0001822
57,34163.3,1.48485,1.14592,1.04016,0.69137,0.35756,0.43999,0.21221,1.68653,1.57339,1.16246,0.00017824,0.00017824,0.00017824
58,34675.4,1.47683,1.1417,1.02592,0.69882,0.41012,0.44617,0.20558,1.66311,1.59207,1.12618,0.00017428,0.00017428,0.00017428
59,35188.2,1.53386,1.14597,1.04505,0.70525,0.38999,0.43264,0.20562,1.68488,1.53754,1.13542,0.00017032,0.00017032,0.00017032
60,35700.8,1.44708,1.12941,1.04136,0.77644,0.38318,0.44617,0.21135,1.67161,1.51444,1.12868,0.00016636,0.00016636,0.00016636
61,36214.2,1.53438,1.14636,1.0297,0.69909,0.39862,0.42706,0.21716,1.64407,1.49419,1.12209,0.0001624,0.0001624,0.0001624
62,36727.5,1.45627,1.09347,1.04952,0.71529,0.4149,0.43818,0.21581,1.62906,1.53324,1.12287,0.00015844,0.00015844,0.00015844
63,37240.9,1.48955,1.10341,1.0226,0.75993,0.38974,0.43842,0.20735,1.66717,1.52258,1.13826,0.00015448,0.00015448,0.00015448
64,37754,1.44598,1.09067,1.0249,0.73532,0.39911,0.43016,0.21096,1.66422,1.5301,1.13915,0.00015052,0.00015052,0.00015052
65,38267.6,1.4554,1.08178,1.02084,0.75357,0.39189,0.44577,0.21966,1.66665,1.50849,1.15348,0.00014656,0.00014656,0.00014656
66,38781.3,1.44347,1.0473,1.01285,0.75586,0.40704,0.45348,0.21932,1.67069,1.44159,1.13893,0.0001426,0.0001426,0.0001426
67,39294.1,1.44763,1.06264,1.02478,0.68808,0.43907,0.46823,0.2283,1.67205,1.46553,1.13279,0.00013864,0.00013864,0.00013864
68,39808.3,1.40682,1.04588,1.0134,0.66444,0.43822,0.46409,0.22719,1.66167,1.45966,1.12832,0.00013468,0.00013468,0.00013468
69,40322.8,1.40524,1.05414,1.00923,0.79493,0.41029,0.48168,0.235,1.63241,1.42219,1.12554,0.00013072,0.00013072,0.00013072
70,40836.4,1.38484,1.01729,1.021,0.6406,0.47857,0.47086,0.22475,1.63937,1.43255,1.12496,0.00012676,0.00012676,0.00012676
71,41349.5,1.38179,1.00158,1.00901,0.78242,0.38214,0.44169,0.21512,1.65564,1.49028,1.12595,0.0001228,0.0001228,0.0001228
72,41864.2,1.35916,1.01141,1.01242,0.75983,0.40898,0.45849,0.22675,1.62154,1.51355,1.12607,0.00011884,0.00011884,0.00011884
73,42377.4,1.40702,1.02238,1.00445,0.67198,0.41824,0.44361,0.21477,1.65652,1.42509,1.15796,0.00011488,0.00011488,0.00011488
74,42890.8,1.3858,1.02017,1.00186,0.79639,0.37868,0.45052,0.2216,1.59879,1.49756,1.13178,0.00011092,0.00011092,0.00011092
75,43404.3,1.37636,0.97555,1.0069,0.60513,0.4616,0.45947,0.22,1.65227,1.45885,1.15574,0.00010696,0.00010696,0.00010696
76,43918.2,1.41977,0.99279,1.0008,0.64731,0.43861,0.45533,0.21625,1.67501,1.50665,1.12738,0.000103,0.000103,0.000103
77,44431.9,1.36823,0.93849,1.00493,0.70839,0.44572,0.47379,0.2254,1.62204,1.43096,1.1118,9.904e-05,9.904e-05,9.904e-05
78,44945.5,1.34916,0.98969,0.99212,0.71674,0.43719,0.46528,0.22278,1.64588,1.43784,1.1332,9.508e-05,9.508e-05,9.508e-05
